34129	43477	35598	52167	45717	47308	57256	45540	56791	47883	55102	55812	55989	83094	53587	51985	51337	53436	54800	62094;
36746	51933	37147	48550	44880	61866	50183	43336	45516	50231	49241	47879	50804	58929	48282	55319	54607	56332	55597	61772;
45053	38456	44667	35119	37653	43264	48397	43976	49052	61662	47465	67598	49059	50962	51927	46466	54762	57966	50431	50609;
39551	40967	47576	48886	42729	46068	44895	46310	40645	51046	53777	46453	57292	58319	55368	44780	49761	42073	45272	46655;
45156	39373	34591	34202	40144	38044	52083	46377	42439	45774	43632	41069	40975	45677	49169	57951	73348	40155	58110	42057;
32433	45050	35287	30032	51533	46439	40014	40201	38643	39381	39142	42409	54984	40992	46861	53146	40035	39599	39842	46588;
41525	28941	34953	28841	45072	46292	42499	36338	34975	44868	47181	36193	44994	52343	38196	43674	51118	36506	52442	47438;
25217	28581	30871	44923	32162	35007	29340	33669	37391	41820	46562	40425	32701	44503	37181	38066	37507	37514	73029	41661;
23083	25241	31258	31418	27180	40171	35081	39237	27092	36900	44550	36794	31113	38745	39561	37564	44859	41534	37971	38349;
31121	36467	25714	28521	34521	34065	39453	36388	32530	41528	35954	36939	43577	32387	38089	33337	39774	40553	34084	40667;
23195	27924	26877	26553	31819	30307	36399	45505	35596	41672	34685	31612	33741	31115	41986	43637	31183	38065	41948	32523;
21989	23015	35722	28703	39309	28714	32387	29811	28255	34225	30841	34454	29360	47126	33862	37175	37634	34240	43196	33849;
26590	31156	25751	37230	29266	30473	42988	25486	31141	32978	30350	36494	40102	41920	35644	36758	30043	32914	33856	32894;
19326	40836	30377	28115	23696	24412	37637	31983	30278	37986	39046	29489	31337	33270	35527	42277	41860	26464	32552	40245;
18941	22011	23425	32260	37523	25200	32739	35927	29362	26483	40068	23662	25168	35156	29145	30940	32312	29941	30484	27332;
28768	21945	19695	24558	25162	26327	28354	23966	30147	23608	27281	31384	27954	27556	38741	31948	30392	29979	31899	32083;
19290	17994	28025	21261	29779	33459	42879	28252	32782	30768	29979	27071	32301	28039	45830	29706	34444	29316	31573	26672;
